Rank,Player,Age,Tm,Pts Won,Pts Max,Share,G,Team Wins,Overall Seed,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,G-Lockout,Wins-Lockout,WS-Lockout,VORP-Lockout
1,Russell Westbrook,28,OKC,888,1010,0.879,81,47,10,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,13.1,0.224,12.4,15.6,,,,
2,James Harden,27,HOU,753,1010,0.746,81,55,3,36.4,29.1,8.1,11.2,1.5,0.5,0.44,0.347,0.847,15,0.245,9,10.1,,,,
3,Kawhi Leonard,25,SAS,500,1010,0.495,74,61,2,33.4,25.5,5.8,3.5,1.8,0.7,0.485,0.38,0.88,13.6,0.264,6.2,7.9,,,,
4,LeBron,32,CLE,333,1010,0.33,74,51,5,37.8,26.4,8.6,8.7,1.2,0.6,0.548,0.363,0.674,12.9,0.221,7.3,8.4,,,,
5,Isaiah Thomas,27,BOS,81,1010,0.08,76,53,4,33.8,28.9,2.7,5.9,0.9,0.2,0.463,0.379,0.909,12.5,0.234,4.8,5.4,,,,
6,Stephen Curry,28,GSW,52,1010,0.051,79,67,1,33.4,25.3,4.5,6.6,1.8,0.2,0.468,0.411,0.898,12.6,0.229,6.2,7.3,,,,
7,Giannis Antetokounmpo,22,MIL,7,1010,0.007,80,42,14,35.6,22.9,8.8,5.4,1.6,1.9,0.521,0.272,0.77,12.4,0.21,6.9,7.6,,,,
7,John Wall,26,WAS,7,1010,0.007,78,49,9,36.4,23.1,4.2,10.7,2,0.6,0.451,0.327,0.801,8.8,0.149,4.3,4.1,,,,
9,Anthony Davis,23,NOP,2,1010,0.002,75,34,21,36.1,28,11.8,2.1,1.3,2.2,0.505,0.299,0.802,11,0.195,3.9,3.7,,,,
9,Kevin Durant,28,GSW,2,1010,0.002,62,67,1,33.4,25.1,8.3,4.8,1.1,1.6,0.537,0.375,0.875,12,0.278,5.2,8,,,,
