Rank,Player,Age,Tm,Pts Won,Pts Max,Share,G,Team Wins,Overall Seed,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,G-Lockout,Wins-Lockout,WS-Lockout,VORP-Lockout
1,Kevin Durant,25,OKC,1232,1250,0.986,81,59,2,38.5,32,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2,0.295,8.5,8.8,,,,
2,LeBron James,29,MIA,891,1250,0.713,77,54,6,37.7,27.1,6.9,6.3,1.6,0.3,0.567,0.379,0.75,15.9,0.264,8,8.9,,,,
3,Blake Griffin,24,LAC,434,1250,0.347,80,57,3,35.8,24.1,9.5,3.9,1.2,0.6,0.528,0.273,0.715,12.2,0.205,4.8,4.6,,,,
4,Joakim Noah,28,CHI,322,1250,0.258,80,48,11,35.3,12.6,11.3,5.4,1.2,1.5,0.475,0,0.737,11.2,0.19,6.1,6.6,,,,
5,James Harden,24,HOU,85,1250,0.068,73,54,5,38,25.4,4.7,6.1,1.6,0.4,0.456,0.366,0.866,12.8,0.221,5.4,5.7,,,,
6,Stephen Curry,25,GSW,66,1250,0.053,78,51,8,36.5,24,4.3,8.5,1.6,0.2,0.471,0.424,0.885,13.4,0.225,6.7,7.4,,,,
7,Chris Paul,28,LAC,45,1250,0.036,62,57,3,35,19.1,4.3,10.7,2.5,0.1,0.467,0.368,0.855,12.2,0.27,5.2,7.4,,,,
8,Al Jefferson,29,CHA,34,1250,0.027,73,43,16,35,21.8,10.8,2.1,0.9,1.1,0.509,0.2,0.69,7.8,0.146,2.5,1.8,,,,
9,Paul George,23,IND,33,1250,0.026,80,56,4,36.2,21.7,6.8,3.5,1.9,0.3,0.424,0.364,0.864,10.8,0.178,4.9,4.7,,,,
10,LaMarcus Aldridge,28,POR,26,1250,0.021,69,54,7,36.2,23.2,11.1,2.6,0.9,1,0.458,0.2,0.822,7.5,0.144,1.5,0.3,,,,
