Rank,Player,Age,Tm,Pts Won,Pts Max,Share,G,Team Wins,Overall Seed,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,G-Lockout,Wins-Lockout,WS-Lockout,VORP-Lockout
1,LeBron James,28,MIA,1207,1210,0.998,76,66,1,37.9,26.8,8,7.3,1.7,0.9,0.565,0.406,0.753,19.3,0.322,9.8,11.6,,,,
2,Kevin Durant,24,OKC,765,1210,0.632,81,60,2,38.5,28.1,7.9,4.6,1.4,1.3,0.51,0.416,0.905,18.9,0.291,7.6,7.7,,,,
3,Melo,28,NYK,475,1210,0.393,67,54,7,37,28.7,6.9,2.6,0.8,0.5,0.449,0.379,0.83,9.5,0.184,2.8,2.4,,,,
4,CP3,27,LAC,289,1210,0.239,70,56,5,33.4,16.9,3.7,9.7,2.4,0.1,0.481,0.328,0.885,13.9,0.287,5.6,7.5,,,,
5,Kobe,34,LAL,184,1210,0.152,78,45,13,38.6,27.3,5.6,6,1.4,0.3,0.463,0.324,0.839,10.9,0.174,5.1,4.7,,,,
6,Tony Parker,30,SAS,86,1210,0.071,66,58,3,32.9,20.3,3,7.6,0.8,0.1,0.522,0.353,0.845,9.3,0.206,2.6,2.7,,,,
7,Tim Duncan,36,SAS,65,1210,0.054,69,58,3,30.1,17.8,9.9,2.7,0.7,2.7,0.502,0.286,0.817,8.3,0.191,3.2,4.1,,,,
8,James Harden,23,HOU,33,1210,0.027,78,45,12,38.3,25.9,4.9,5.8,1.8,0.5,0.438,0.368,0.851,12.8,0.206,5.7,5.5,,,,
9,Russell Westbrook,24,OKC,9,1210,0.007,82,60,2,34.9,23.2,5.2,7.4,1.8,0.3,0.438,0.323,0.8,11.6,0.195,5.1,5,,,,
10,Dwyane Wade,31,MIA,5,1210,0.004,69,66,1,34.7,21.2,5,5.1,1.9,0.8,0.521,0.258,0.725,9.6,0.192,3.5,3.9,,,,
