Rank,Player,Age,Tm,Pts Won,Pts Max,Share,G,Team Wins,Overall Seed,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,G-Lockout,Wins-Lockout,WS-Lockout,VORP-Lockout
1,Stephen Curry,27,GSW,1310,1310,1,79,73,1,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,17.9,0.318,9.8,12.5,,,,
2,Kawhi,24,SAS,634,1310,0.484,72,67,2,33.1,21.2,6.8,2.6,1.8,1,0.506,0.443,0.874,13.7,0.277,6.2,8.3,,,,
3,LeBron,31,CLE,631,1310,0.482,76,57,3,35.6,25.3,7.4,6.8,1.4,0.6,0.52,0.309,0.731,13.6,0.242,7.6,9.1,,,,
4,Westbrook,27,OKC,486,1310,0.371,80,55,5,34.4,23.5,7.8,10.4,2,0.3,0.454,0.296,0.812,14,0.245,8.3,10,,,,
5,Kevin Durant,27,OKC,147,1310,0.112,72,55,5,35.8,28.2,8.2,5,1,1.2,0.505,0.387,0.898,14.5,0.27,6.4,7.9,,,,
6,Chris Paul,30,LAC,107,1310,0.082,74,53,6,32.7,19.5,4.2,10,2.1,0.2,0.462,0.371,0.896,12.7,0.253,6,7.8,,,,
7,Draymond Green,25,GSW,50,1310,0.038,81,73,1,34.7,14,9.5,7.4,1.5,1.4,0.49,0.388,0.696,11.1,0.19,5.5,5.8,,,,
8,Damian Lillard,25,POR,26,1310,0.02,75,44,13,35.7,25.1,4,6.8,0.9,0.4,0.419,0.375,0.892,9.2,0.165,3.8,3.7,,,,
9,James Harden,26,HOU,9,1310,0.007,82,41,17,38.1,29,6.1,7.5,1.7,0.6,0.439,0.359,0.86,13.3,0.204,6.9,6.7,,,,
10,Kyle Lowry,29,TOR,6,1310,0.005,77,56,4,37,21.2,4.7,6.4,2.1,0.4,0.427,0.388,0.811,11.6,0.196,6.3,6.8,,,,
